Package                                      Current       Wanted   Latest  Location                                              Depended by
http-proxy-middleware                          3.0.7        3.0.7    4.1.1  node_modules/http-proxy-middleware                    Aether_Coin_biozonecurrency
jspdf                                          3.0.4        3.0.4    4.2.1  node_modules/jspdf                                    Aether_Coin_biozonecurrency
lucide-react                                 0.453.0      0.453.0   1.21.0  node_modules/lucide-react                             Aether_Coin_biozonecurrency
marked                                       15.0.12      15.0.12   18.0.5  node_modules/marked                                   Aether_Coin_biozonecurrency
matrix-js-sdk                                37.13.0      37.13.0   41.8.0  node_modules/matrix-js-sdk                            Aether_Coin_biozonecurrency
monaco-editor                                 0.52.2       0.52.2   0.55.1  node_modules/monaco-editor                            Aether_Coin_biozonecurrency
multer                                   1.4.5-lts.2  1.4.5-lts.2    2.2.0  node_modules/multer                                   Aether_Coin_biozonecurrency
openai                                       4.104.0      4.104.0   6.45.0  node_modules/openai                                   Aether_Coin_biozonecurrency
postcss                                        8.5.3        8.5.3   8.5.15  node_modules/postcss                                  Aether_Coin_biozonecurrency
qr                                             0.4.2        0.4.2    0.6.0  node_modules/qr                                       Aether_Coin_biozonecurrency
react                                         18.3.1       18.3.1   19.2.7  node_modules/react                                    Aether_Coin_biozonecurrency
react-day-picker                              8.10.2       8.10.2   10.0.1  node_modules/react-day-picker                         Aether_Coin_biozonecurrency
react-dom                                     18.3.1       18.3.1   19.2.7  node_modules/react-dom                                Aether_Coin_biozonecurrency
react-helmet-async                             2.0.5        2.0.5    3.0.0  node_modules/react-helmet-async                       Aether_Coin_biozonecurrency
react-resizable                                3.2.0        3.2.0    4.0.2  node_modules/react-resizable                          Aether_Coin_biozonecurrency
react-resizable-panels                         2.1.9        2.1.9   4.11.2  node_modules/react-resizable-panels                   Aether_Coin_biozonecurrency
react-router-dom                               7.5.2        7.5.2   7.18.0  node_modules/react-router-dom                         Aether_Coin_biozonecurrency
react-tabs                                     6.1.0        6.1.0    6.1.1  node_modules/react-tabs                               Aether_Coin_biozonecurrency
recharts                                      2.15.4       2.15.4    3.9.0  node_modules/recharts                                 Aether_Coin_biozonecurrency
rimraf                                         6.0.1        6.0.1    6.1.3  node_modules/rimraf                                   Aether_Coin_biozonecurrency
sonner                                         2.0.3        2.0.3    2.0.7  node_modules/sonner                                   Aether_Coin_biozonecurrency
stripe                                        18.5.0       18.5.0   22.3.0  node_modules/stripe                                   Aether_Coin_biozonecurrency
tailwind-merge                                 2.6.1        2.6.1    3.6.0  node_modules/tailwind-merge                           Aether_Coin_biozonecurrency
tailwindcss                                   3.4.17       3.4.17    4.3.1  node_modules/tailwindcss                              Aether_Coin_biozonecurrency
twilio                                        5.13.1       5.13.1    6.0.2  node_modules/twilio                                   Aether_Coin_biozonecurrency
typescript                                     5.9.3        5.9.3    6.0.3  node_modules/typescript                               Aether_Coin_biozonecurrency
uuid                                          11.1.1       11.1.1   14.0.1  node_modules/uuid                                     Aether_Coin_biozonecurrency
vite                                           6.2.5        6.2.5    8.1.0  node_modules/vite                                     Aether_Coin_biozonecurrency
vite-plugin-node-polyfills                    0.23.0       0.23.0   0.28.0  node_modules/vite-plugin-node-polyfills               Aether_Coin_biozonecurrency
wagmi                                         2.19.5       2.19.5   3.6.20  node_modules/wagmi                                    Aether_Coin_biozonecurrency
web-vitals                                     4.2.4        4.2.4    5.3.0  node_modules/web-vitals                               Aether_Coin_biozonecurrency
zod                                          3.25.76      3.25.76    4.4.3  node_modules/zod                                      Aether_Coin_biozonecurrency
zod-validation-error                           3.5.4        3.5.4    5.0.0  node_modules/zod-validation-error                     Aether_Coin_biozonecurrency
